asset_id,current_los,method_1_cost,method_2_cost,method_3_cost,weight,SHAPE_Leng
1011268,5.3,1275.65,5102.6,31891.25,0.07,23.031367
1011269,5.3,110.15,440.6,2753.75,0.01,16.77609116
1011270,6.8,1059.4,4237.6,18539.5,0.03,22.48802421
1011271,7.7,1934.5,7738,33853.75,0.05,30.8076323
1011272,6,2246.4,8985.6,39312,0.06,32.50337359
1011273,5.2,868.575,3474.3,17371.5,0.03,27.39936436
1011274,7.4,846.9,3387.6,14820.75,0.02,19.74670181
1011275,6.6,6091.8,24367.2,106606.5,0.17,98.05911258
1011276,7.2,574,2296,10045,0.02,8.419711473
1011277,2.7,19722.2,78888.8,345138.5,0.54,275.9859095
1011278,7,23319.5,93278,408091.25,0.64,286.6685084
1011279,5.512885162,3113.2,12452.8,54481,0.09,50.71240069
1011280,7.2,34236.8,136947.2,599144,0.94,283.7088998
1011281,3.3,2587.6,10350.4,45283,0.07,36.30606118
1011282,5.7,2641.5,10566,46226.25,0.07,40.64545903
1011283,5.3,3749.8,14999.2,65621.5,0.1,44.70074412
1011284,4.6,812.3,3249.2,14215.25,0.02,16.81866787
1011285,3.1,1724.9,6899.6,30185.75,0.05,31.01553255
1011286,7,1074.5,4298,18803.75,0.03,16.42051663
1011287,6.8,423.2,1692.8,7406,0.01,9.06236944
1011288,5.8,2734.8,10939.2,47859,0.07,65.16980083
1011289,5.3,2380.4,9521.6,41657,0.07,40.83449644
1011290,6,975,3900,17062.5,0.03,10.50398651
1011291,6,993.3,3973.2,17382.75,0.03,13.41755438
1011292,6.1,30116.5,120466,527038.75,0.82,371.2431642
1011293,5.577459159,2991.5,11966,52351.25,0.08,50.88250069
1011294,5.7,2027.7,8110.8,35484.75,0.06,39.20043629
1011295,5.7,4225.1,16900.4,73939.25,0.12,78.23809992
1011296,6.2,2964.3,11857.2,51875.25,0.08,41.44210274
1011297,5.3,852.25,3409,21306.25,0.05,34.70215599
1011298,5.3,1129.8,4519.2,28245,0.06,20.75876475
1011299,5.555369569,5383.9,21535.6,94218.25,0.15,110.6713543
1011300,4.9,7076,28304,123830,0.19,45.25196492
1011301,6,455.7,1822.8,7974.75,0.01,11.21662094
1011302,6,36826.8,147307.2,644469,1.01,361.1240513
1011303,8.3,2178.7,8714.8,38127.25,0.06,36.51758305
1011304,5.8,21706.7,86826.8,379867.25,0.59,274.5994694
1011305,7.6,6843,27372,119752.5,0.19,65.72570297
1011306,6.9,997.6,3990.4,17458,0.03,15.31040111
1011307,6.5,1549.5,6198,27116.25,0.04,29.0924195
1011308,5.6,8697,34788,152197.5,0.24,88.18473984
1011309,7.5,456.7,1826.8,7992.25,0.01,9.636000065
1011310,5.567215019,4373.8,17495.2,76541.5,0.12,60.00906522
1011311,6.9,9060.2,36240.8,158553.5,0.25,118.4420389
1011312,6.4,3176.2,12704.8,55583.5,0.09,51.24594284
1011313,8.7,18668.7,74674.8,326702.25,0.51,257.9650921
1011314,6.2,2680.5,10722,46908.75,0.07,42.31992571
1011315,5.3,778.35,3113.4,19458.75,0.04,28.31253807
1011316,7.4,9680,38720,169400,0.26,84.34029872
1011317,7.4,15717.6,62870.4,275058,0.43,108.7934637
